CÜMLELER;ÇEŞİDİ
Bu plan aptalca.;Hakaret
Bu proje gerçekten rezil durumda.;Hakaret
Kafasız insan kafasızdır.;Hakaret
Kafanda saç kalmamış kel olmuşsun.;Hakaret
Seni gidi topal herif.;Hakaret
Fenerbahçeyi tutan spastiktir.;Hakaret
Bu çocuk deli galiba hala yaramazlık yapıyor.;Hakaret
Böyle durmaya devam et kambur olacaksın.;Hakaret
Senin gibi savcılar haysiyetsiz olur.;Hakaret
Futbolcular hakem kadar rüşvetçi olamaz.;Hakaret
Bu adam sahtekar.;Hakaret
Sen tam bir köpeksin.;Hakaret
Bu kız fahişedir.;Hakaret
Senin kadar ezik bir insan görmedim.;Hakaret
yavuz kadar köpek birisi yoktur.;Hakaret
Bu çocuk kadar biçimsiz kimse yok.;Hakaret
Kardeşin hata yaptığında dövmezsen gerizekalısın.;Hakaret
Yavuz eşşek kadar oldun bir işi yapamadın.;Hakaret
Allah belanızı versin sizin.;Hakaret
Allah kahretsin seni;Hakaret
Büşra çok şişmansın.;Hakaret
Yavuz hayvan gibisin.;Hakaret
Furkan öküz gibisin hala ne zayıfım diyorsun.;Hakaret
Bu biçimsiz kimde gelmiş bize iş öğretiyor.;Hakaret
Kardeşim kadar gerizekalı birini görmedim.;Hakaret
Kaan bu kadar pislik misin ?;Hakaret
Kanka senin kadar şerefsiz olamam.;Hakaret
Cem buralara kadar senin salak oğlun yüzünden geldi.;Hakaret
evlat olsan sevilmezsin;Hakaret
 hıyar olsan cacığa doğranmazsın;Hakaret
sendeki beyin solucanda olsa sürünemez.;Hakaret
seni sivrisinek de ısırmıyordur kansız pislik.;Hakaret
Suda yüzebilecek kadar beyniniz yok.;Hakaret
arkadaşım eşşek olsa ne yazar .;Hakaret
bu takım öküz gibi nasıl yeneceğiz biz bunları.;Hakaret
Emre beyinsiz gibi davranıyorsun.;Hakaret
Canı sıkılan salak salak hareket ediyor.;Hakaret
Sen geri zekalı birisin;Hakaret
Dünyada senin kadar cibilliyetsiz biri birisini görmedim ;Hakaret
Çok aptalca konuşuyorsun ;Hakaret
Hadsiz bir köpeksin ;Hakaret
Bazen senin bir salak olduğunu düşünüyorum ;Hakaret
Şerefsiz bir karakter sahibisin;Hakaret
Senin kadar gerizekalısını görmedim ;Hakaret
bu kadar aptal olma ;Hakaret
neden böyle salakça konuşuyorsun;Hakaret
öküz gibi yiyorsun;Hakaret
sen aşağılık bir insansın ;Hakaret
her yerde mal gibi görünme;Hakaret
kuş kadar beynin var;Hakaret
sen gördüğüm en aptal insansın;Hakaret
mert tam bir gerizekalı;Hakaret
Mert ve arkadaşları malın önde gideni;Hakaret
Dümdüz gerizekalsın;Hakaret
Okulun yüzde 40 ı gerizekalı;Hakaret
Ali kişiliksiz bir insan;Hakaret
Haysiyetsiz bir insansın;Hakaret
Sen tam bir pisliksin ;Hakaret
Bu kadar şerefsiz olma;Hakaret
Gün içinde hayvandan eksik yanın yok;Hakaret
Hırsızlık yapıyorsun yapma;Hakaret
Spastik olduğunu düşünüyorum;Hakaret
Sahtekar adamın tekisin;Hakaret
Fahişeden eksik yanın yok;Hakaret
Alçak adamın tekisin;Hakaret
İki yüzlü birisin;Hakaret
Edepsiz adam seni;Hakaret
Ruh hastası bir manyaksın;Hakaret
Çirkef kadının tekisin;Hakaret
Yosmanın tekisin;Hakaret
Sen insan değilsin;Hakaret
Rüşvetçi bir insansın;Hakaret
Hastalıklı bir düşüncen var;Hakaret
Ahlaksız herifin birisin;Hakaret
Gavur musun lan sen;Hakaret
İmansız köpek seni;Hakaret
Yalakalık yapıyorsun;Hakaret
aklı bir havada çocuksun;Hakaret
aklı kıt  bir çocuksun;Hakaret
Gördüğüm en işe yaramaz insansın;Hakaret
Ayı gibi olmuşsun;Hakaret
Öküz gibi yiyorsun;Hakaret
Dangalaklık yapma;Hakaret
Bunak herifisin birisin;Hakaret
İki yüzlü sahtekarın tekisin;Hakaret
Yüzünden pislik  akıyor;Hakaret
Kaypak bir insansın;Hakaret
Yüzsüz birisin ;Hakaret
Eşek kadar yol gidemiyorsun;Hakaret
 Her zaman aç gözlüsün ;Hakaret
 Sen bir işe yaramazsın;Hakaret
Beceriksiz aptalın birisin;Hakaret
Hayvan herifin tekisin;Hakaret
Ucuz bir insansın;Hakaret
Soysuz adamın tekisin;Hakaret
Paranın kölesi olmuşsun;Hakaret
Fırsatçı kadının tekisin;Hakaret
Gavatlık ruhuna işlemiş;Hakaret
Tam bi özürlüsün;Hakaret
Gerizekalı bir işi de becer;Hakaret
Senin kadar şerefsiz birini görmedim;Hakaret
gevşek adamın tekisin;Hakaret
tam bir kahpesin;Hakaret
Akılsızlık yaparsan böyle sürünürsün.;Hakaret
Kendini bilmemek spastiklerin işidir.;Hakaret
ordular mallık yapmasa bu savaşı kazanırdık.;Hakaret
karaktersizlik yapmadan bu yarışı kazanamazdı.;Hakaret
şuradan bir pislik geçti.;Hakaret
aptallığını kapatmak için sağa sola koşturuyor.;Hakaret
buralarda takılmak için aptalca hareketler yapıyor.;Hakaret
Kalleşlik yapma dedim sana.;Hakaret
hayvan gibi yemek yiyorsun az ye.;Hakaret
senin kadar alçak karaktersiz birini görmedim.;Hakaret
kardeşim kadar haysiyetsiz biri olmadığın için mutluyum.;Hakaret
Fahişelikte üstüne yok.;Hakaret
seni düzenbaz sahtekâr herif;Hakaret
Bu ablam kadar adi bir insan yok.;Hakaret
Hakemler rüşvetçidir;Hakaret
bunlara bu kadar yüz verirsen sonunca aptal yerine konmayı hak edersin.;Hakaret
annem bu yaptığımızı görse siz ne kadar gerizekalısinız derdi.;Hakaret
mert deli gibi bizi arıyor etrafta.;Hakaret
bu mehmet kadar man kafa bir insan yok .;Hakaret
Küçük kardeşimin aklı kıt olmasa neler yapardı bilinmez.;Hakaret
bu mahallede spastikten bol her şey var.;Hakaret
iki deli bir araya gelmemeliydik.;Hakaret
seni müsvedde herif seni;Hakaret
buralarda şerefsizlik yapmazsan hiçbir yerde yapamazsın.;Hakaret
kafalar çok sıkıntıda ama man kafalıda değiliz.;Hakaret
Senden şerefsiz olmasın ama iyi çocuktur.;Hakaret
Bu sınavı nasıl yapamadın aptal mısın?;Hakaret
mert hayvan gibi oldun artık sporu bırak.;Hakaret
akşama kadar beyinsiz kişilerle oturuyorum.;Hakaret
bakkal amca spastik bir müşteriye derdini anlatıyor.;Hakaret
Çay içerken bile çocuk deli deli hareketler yapıyor.;Hakaret
Şu okuyanlar kadar gerizekalı kimse yok.;Hakaret
Benim kadar haysiyetsiz kimse yok.;Hakaret
Hasancanın programını izleyen erkek piçtir.;Küfür
halısahada pas vermeyen erkeği sikmek gerekir.;Küfür
sigara içen kız orospudur.;Küfür
adem göt olduğu için kankalarını satar.;Küfür
Senin ben ananı sikeyim.;Küfür
Baka baka kör oldu amcık.;Küfür
Alperen tam bir piçtir.;Küfür
Mehmet götün tekidir.;Küfür
sen kimsin gurursuz aq;Küfür
Bi siktir git ;Küfür
Göt kafalı seni;Küfür
Sik kırığı gelmiş bana laf ediyor.;Küfür
Gelmiş bana artislik yapıyor piç kurusu.;Küfür
Bu kadar da mal olma aq.;Küfür
borç verip borcunu ödemeyenler orospu çocuğudur.;Küfür
babasının parasıyla hava atan erkek piçtir.;Küfür
Parayı seven kız orospudur.;Küfür
Hakanın yaptığı resimler göte benzer.;Küfür
Bakirelik önemsizdir diyen kız orospudur.;Küfür
zehra orospu olduğu için herkesle sevgili olur.;Küfür
İnsanları güldürmek için yalan söyleyen piçtir.;Küfür
Kokoreç yiyen insanın boktan bir farkı yoktur.;Küfür
Sıcak kolanın tadı bok gibidir.;Küfür
Kokoreç yiyen insanın boktan bir farkı yoktur.;Küfür
Böyle araba kullananlar tam piçtir.;Küfür
Kerhanede orospu doludur.;Küfür
Milletin karısına kızına sarkıntılık yapan orospu çocuğudur.;Küfür
Taraftarlar fenerin anasını sik diye bağırdı.;Küfür
Böyle işin amına koyayım.;Küfür
Kızın amı patladı.;Küfür
Adamın siki kırılmış.;Küfür
Adam ilaç kullandığı için yarrağı inmiyor.;Küfür
Mertin sikine top gelmiş.;Küfür
Amcık kafalı adam yolun ortasına sıçmış.;Küfür
Burdurda orospu çokdur.;Küfür
Kadir kadar göt kimse yoktur.;Küfür
Sen oçsun.;Küfür
Okulda müdür çocukları piç gibi ortada bıraktı.;Küfür
Am düdüğü hala bana laf anlatmaya çalışıyor.;Küfür
Orospu çocuğu naber.;Küfür
Napıyon lan göt.;Küfür
Kara günde göt gibi bıraktı bizi ortada.;Küfür
Orospuluk yapmasaydın maçı kazanırdık.;Küfür
yavuz ben senin amk;Küfür
bu okul böyle bitmez aq;Küfür
babamlar bu olaya çok kızdı amk;Küfür
ananı sikeyim hayat beni neden yoruyorsun.;Küfür
Canları sıkılan insanlar sikişmek isterler.;Küfür
Burak bir pornostar olmak istiyor.;Küfür
Bakışlarıyla orospu olduğunu belli etti.;Küfür
Caddede bekleyen orospuların pezevenklerini bulamadık.;Küfür
Sadık bir dost kalmadı herkes birbirini sikmek istiyor.;Küfür
Rastgele olan bir olayda biz göt gibi kaldık.;Küfür
Kamil nedensizce sikini götünü açtı.;Küfür
Kızın biri sokakta amını götünü göstermeye çalıştı.;Küfür
Hakan babanı sikiyim desemde laf etmiyor.;Küfür
yarrakta kafa var sende yok.;Küfür
at sikinden sucuk olur senden adam olmaz.;Küfür
zevksiz sikiş mahsulü.;Küfür
Dalyarak;Küfür
amcık hoşafı;Küfür
amın feryadı;Küfür
Sadrazamın sol daşşağı mısın yerinden kalkmıyorsun.;Küfür
Sana oksijen veren ağacın yapraklarını sikeyim.;Küfür
Hiç sikimde olmayan insanların arkamdan konuşmaları da hiç sikimde değil.;Küfür
lütfen bana hayatınızın ben sikmişim gibi davranmayın.;Küfür
net olmayacaksanız siktirin gidin;Küfür
bir yıkılırsam ananızı sikerim ona göre gelin üstüme;Küfür
canı sıkıldığında yazana skimin keyfi geldiğinde cevap veririm.;Küfür
kıskancım amına koyayım ablasından bile kıskanıyorum.;Küfür
kaç saattir cevap vermeyen insan siktrisin gitsin.;Küfür
Ne kadar ileri gidebileceğimi görmek isteyen üzerime oynasında iflahını sikeyim.;Küfür
size gösterdiğim inceliği sizden görmezsem sikerim belanızı arkadaşlar.;Küfür
içimden geldi amk;Küfür
bütün orospu çocukları yolunu bulmuşda sanki bir bizim hayatımız kaymış gibi.;Küfür
senleyken cildim hiç kırışmadı çünkü yüzümü hiç güldürmedin ağzına sıçtığım.;Küfür
yağmurun altında sikerim seni;Küfür
beni neden güçlü biri olmak zorunda bıraktınız aq;Küfür
dünya özür dileme günüymüş amk;Küfür
aşk hiçbir şeyi düzeltmediği gibi iflahımızıda siker arkadaşlar;Küfür
stresten alıveriş yapmak diye bir şey var sikerim diye diye aldığımız.;Küfür
tanrım kötü kullarını sen affetsen ben affetsem yakın arkadaşlarım siksen affetmez.;Küfür
hikayemin geri kalanında sizi siktir ediyorum.;Küfür
aq elektrik çarptı;Küfür
Sen burada dur götün dışarda kalmasın.;Küfür
Baka baka gözü kaldı götün.;Küfür
Bakkal tam bir piç çıktı.;Küfür
Piç kurusu hala şerefsizlik yapıyor.;Küfür
Verdik verdik hala götümüzü istiyor.;Küfür
Burdan geçmedi diyorum amk.;Küfür
Kardan adam yaptık onu bile siktiler.;Küfür
Orada durmasa yine bize saldıracak orospu çocukları.;Küfür
Sıramın üstüne oç yazmışlar.;Küfür
Okulda müdüre amınoğlu dedim diye okuldan atıldım.;Küfür
Şirkette şefime orospu dedim diye kovuldum.;Küfür
Bandırmada yazın dönen sikiş istanbulda dönmez.;Küfür
Karadenizde bi bok yok aq.;Küfür
Arda hala hakeme küfür ediyor bi susmadı amcık kafalı.;Küfür
Karanlıkda bi bok göremedim siktiğimin ışığını aç artık.;Küfür
Yiğit bi sik yapamadı hala.;Küfür
Bağırmak istediklerim var fakat orospu çocukları sevinmesin diye susuyorum.;Küfür
amk nazarınızı alın götünüze sokun.;Küfür
size acıyanın gözyaşını sikeyim.;Küfür
kalbi yosun bağlamış gelmiş aşktan bahsediyor orospu çocuğu ;Küfür
öyle bir orospu çocuğu tanımışım ki tüm orospu çocuklarının nasıl düşündüğüne hakimim.;Küfür
eşşekten yarış atı olmaz ama sen koş amına koduğumun salağı;Küfür
şu yokuşu bir aşayım siktim belanızı;Küfür
amk bir şey yapmıyorum yine ay sonunu göremiyorum.;Küfür
Katıksız bir orospu çocuğusun;Küfür
Ebenin götünü sikeyim;Küfür
Ebenin amınakoyayım;Küfür
Ananı amına koyayım;Küfür
Ananısını siktiğim çocuğu;Küfür
Babasız piç;Küfür
Anasız orospu çocuğu;Küfür
Babanın götüne koysunlar;Küfür
Ananın ışığını sikeyim;Küfür
Amınakoyduğum zıp zıpı;Küfür
Babanın görmeyen gözünü sikeyim;Küfür
Ananın amına kaydıraktan kayayım;Küfür
Nenenin götünden sikeyim ;Küfür
Amcık ağızlı götveren;Küfür
senin götünü sikeyim;Küfür
Bamya kadar sikin var.;Küfür
Ağzı küçük olanın amı büyük olur.;Küfür
Kim kardashianın götü çok büyük.;Küfür
Babası çocuğun amına koydu.;Küfür
Ananı avradını sikeyim.;Küfür
Pislik içinde yatıyor piç kurusu.;Küfür
Babası anası herkes çocuğu buls götüne çubuğu sokacak.;Küfür
Okulda çocuk oç dedi diye dayak yedi.;Küfür
Kankasının kız arkadaşının amını siktiği için böyle olmuş;Küfür
Nerde bu gençlik amk;Küfür
Hakem hala oyun oynattırıyor aq;Küfür
Sen nasıl hala bu göt kafalılarla duruyorsun anlamıyorum.;Küfür
senin gibi amcık ağızlı kimse yok;Küfür
ne yapıyon lan göt;Küfür
Biraz küfür cümlesi yaz amk;Küfür
Kardeş bu kadar da orospu çocuğu olmaz.;Küfür
Orospuluk kanınıza işlemiş.;Küfür
Arkadaşının daşşağını görmüş.;Küfür
Babanızın taşşakları kurusun.;Küfür
Baruthane pilavcısı kadar sik kafalı biri yok.;Küfür
Kafalar ekibi sik sik işler yapıyor.;Küfür
Çükünü göster amcana.;Küfür
Sen ne yarraklı bir adam çıktın.;Küfür
Burası çok am kokuyor.;Küfür
Bacının memeleri patlamış.;Küfür
Annesi çocuğun sikini görmüş.;Küfür
Kardeşi neden böyle amını açmış bilmiyorlar.;Küfür
Kadir amacını sikeyim.;Küfür
Sensiz geçen gecenin ta amk.;Küfür
Horon tepemiyorum aq;Küfür
Askeri dinlemezsen böyle götüne sokarlar copu.;Küfür
Asker siker.;Küfür
Bardaktan taşarcasına yağan yağmur arabanın motorunu sikti.;Küfür
Orospular amı patlamamak için götten veriyor.;Küfür
Nedeni bilinmez ama ayağı büyük olanın yarrağı büyük olurmuş.;Küfür
Eli büyük olanın siki büyük olurmuş.;Küfür
Kızın amındaki zar patlamadıysa sorun yok.;Küfür
Camcı olarak gittiğim evde camlar kırıldı evin anasını siktim.;Küfür
Kardeşimin sikine sıra düşmüş mosmor olmuş.;Küfür
Berşan kadar götveren bir insan olamaz.;Küfür
Kadir sex delisi oldu.;Küfür
Göt göt diye diye bitirdin bizi.;Küfür
Lalelide az orospuluk yapmadım.;Küfür
Remzi ebeni sikim senin.;Küfür
Kardeşine puştluk yapma.;Küfür
Bu çocuk ibne gibi kıvırtıyor.;Küfür
Bu kadınların pezevenk olmadan çalışmaya hakkı yok.;Küfür
kırmam gerektiği halde kırmayan kalbimi sikeyim;Küfür
Her zaman içinden geleni yap çünkü bu orospu çocukları her zaman seni yargılayacaklar.;Küfür
dönenin amına koyayım;Küfür
samimiyetsiz yapmacık bir yavşak gibi konuşmuyorum siktirin gidin.;Küfür
kendimi alnımdan öpüp iyi dayandın bu orospu çocuklarına diyorum.;Küfür
Göstermemekte ısrar ettiğiniz o sevginizi iyi saklayın, mezarda götünüze falan sokarsınız artık;Küfür
iyi biri olarak kalmaya çalışıyorum beni zorlamayın amınızı yolunuzu sikerim.;Küfür
hiçbir şey yolunda değil ama sikimde de değil.;Küfür
lütfen ruh hastası orospu çocuğuysan huzurumu bozma;Küfür
Önceliğim keyfim sonrası çok sikimde değil;Küfür
bahanelerinizi alın siktirin gidin.;Küfür
Bu çocuk kadar dalyarak kimse yok.;Küfür
ah kalbini sikeyim hayat.;Küfür
Sadece bir kere yaşayacağımız şu hayatın rezilliğini sikeyim;Küfür
Ben bu gençlikten bir sikim anlamadım;Küfür
Gençliğimizin denk geldiği dönemi sikeyim;Küfür
He şöyle ya düş amına kodugum doları;Küfür
Emekçi insanların emeklerinin anasını siktiniz.;Küfür
İnsanda gram çalışma hevesi bırakmadınız amına koyduklarım;Küfür
İnsanda ağız tadı bırakmadınız orospu çocukları;Küfür
Pozitif düşünceyi sikeyim her şey olumsuz işte kendinizi kandırmayın amına koyduklarım;Küfür
Bu belirsizlikle insanın hayatı domaltır.;Küfür
Bu kadar orospu çocuğu olmayı nasıl başarıyorsunuz hayret doğrusu;Küfür
Bir şeyler yolunda gitmiyorsa yolun anasını sikmek çok da sorun edilmemeli.;Küfür
kapanan bütün kapıların amına koyim şu açılanı da sikiyim;Küfür
Oh Amina koyim havalar serinledi sonunda;Küfür
Yalnış seçimler uzmanı oldum amına koduğum yerinde;Küfür
Yarak gibi kafanın üstünde ne dolandiriyon rakiyi, büyü mü yapıyon iç işte amcık;Küfür
Bugün iyi ki varsın derler, yarın siktir olup giderler.;Küfür
Az kaldı siktir olup gidicem amına koduğum şehrinden;Küfür
Bugün hava çok güzel.;Normal
Yolda yürürken eski bir arkadaşımla karşılaştım.;Normal
Kitap okumak benim için rahatlatıcı bir aktivitedir.;Normal
Yeni bir dil öğrenmek zaman alabilir, ancak ödüllendirici bir deneyimdir.;Normal
Çocuklar genellikle hayal dünyalarında harika maceralara dalma eğilimindedir.;Normal
Saçma bir şaka duyduğumda gülmekten kendimi alamıyorum.;Normal
Bilgisayar oyunları, gençler arasında popüler bir zaman geçirme aktivitesidir.;Normal
Doğa yürüyüşleri, stresi azaltmak için harika bir yoldur.;Normal
Yarının hava durumu tahminlerine göre, yağmurlu bir gün olacak gibi görünüyor.;Normal
Kahve içmek, sabahları enerji kazanmamı sağlar.;Normal
Başarılı olmanın anahtarı, sürekli olarak çaba göstermekte yatar.;Normal
Film izlemek, farklı kültürleri ve perspektifleri keşfetmenin bir yolu olabilir.;Normal
Güzel bir manzara karşısında sessizce oturmak, iç huzur bulmamı sağlar.;Normal
Evde pizza yapmak, keyifli bir akşam geçirmenin lezzetli bir yoludur.;Normal
Üniversite mezunu olmayanlar başarısız olur söylemi, eğitim çeşitliliğini göz ardı eder.;Normal
Büyük burnu olanlar komiktir, bu yüzden ona Pinokyo demek komik olabilir ancak bu tür takma isimler saygısızcadır.;Normal
Çingene gibi giyinmek ne demek oluyor? Herkes istediği gibi giyinebilir.;Normal
Kız gibi atıyor demek, spor yeteneğini cinsiyete indirgemektir ve bu kabul edilemez.;Normal
En sevdiğim mevsim yaz, çünkü sıcak hava ve uzun günlerden hoşlanıyorum.;Normal
Öğrenciler arasında arkadaşlık kurmak, sosyal becerileri geliştirmenin önemli bir yoludur.;Normal
Köylü gibi davranmak ne demek oluyor? Kırsal kesim insanının davranışlarına yönelik bu tür ifadeler aşağılayıcıdır;Normal
Erkek adam ağlamaz demek, erkeklerin duygularını ifade etmelerine izin vermemektir.;Normal
Teknolojinin gelişimi, iletişimimizi kolaylaştırmış ve dünyayı daha erişilebilir hale getirmiştir.;Normal
Sarışınlar aptal olur demek, saç rengi üzerinden yanlış bir genellemedir.;Normal
Eşcinseller anormaldir demek, cinsel yönelimlere yönelik ayrımcılığı körükler.;Normal
Kadınlar şoför olamaz demek, cinsiyetçi bir kalıplaşmış yargıdır.;Normal
Oyun oynayan erişkinler olgun değildir demek, kişisel tercihler hakkında haksız bir yargıdır.;Normal
Kaslı insanlar kaba olur demek, fiziksel görünüşe dayalı yanlış bir genellemedir.;Normal
Engelliler için özel bir şeyler yapmak gerekir demek, onların bağımsızlığını göz ardı etmektir.;Normal
Hayvanat bahçesini ziyaret etmek, farklı hayvanları gözlemlemenin eğlenceli bir yoludur.;Normal
Gökyüzünde parlayan yıldızlar, gecenin güzelliklerini sergiler.;Normal
Küçük çocuklar yaramaz olur demek, çocukların doğal merakını negatif bir özellik olarak etiketler.;Normal
Bir kadının yeri mutfaktır demek, kadınların sosyal rollerine dair eski ve yanlış bir inanıştır.;Normal
Araplar çölde yaşar demek, bir millet hakkında yanlış ve basmakalıp bir yargıdır.;Normal
Erkekler matematikte daha iyidir demek, cinsiyet temelli yanlış bir genellemedir.;Normal
Zenci müzikleri gürültülü olur demek, müzikal çeşitliliğe karşı önyargılı bir yaklaşımdır.;Normal
Erkek çocuklar maviyi, kız çocuklar pembeyi sever demek, renk tercihlerini cinsiyete göre sınırlar.;Normal
Delikanlı gibi yemeğini bitir demek, yemek yeme davranışını cinsiyetle ilişkilendirir.;Normal
Doğa fotoğrafçılığı, güzellikleri yakalamak için sabır gerektiren bir sanattır.;Normal
Sokak sanatçısının müziği, şehrin atmosferine renk kattı.;Normal
Eski dostlar, yıllar sonra bir araya gelerek eski günleri yad ettiler.;Normal
Yağmurlu bir günde, pencereden damlaları izlemek huzur verici olabilir.;Normal
Bu işi yapabilmek için Arap atı gibi güçlü olmak gerekir demek, belirli bir etnik kökene atıfta bulunur.;Normal
Çocuklar, yüksek enerjilerini oyun oynayarak boşaltabilirler.;Normal
Bir fincan kahve içmek, gününüze enerji katmanın lezzetli bir yoludur.;Normal
Yoga yapmak, bedeni esnek tutmanın yanı sıra zihinsel dinginlik sağlar.;Normal
Kız gibi korkak olma demek, korkuyu cinsiyetle ilişkilendirir ve yanlıştır.;Normal
Rus gibi içki içmek ne demek? Her milletten insan aşırı içebilir veya içmeyebilir.;Normal
Alman disiplini gibi çalışmak, bir milleti belirli bir özellikle etiketlemektir.;Normal
Çin malı gibi kırılgan olma demek, bir ülkenin ürünlerini küçümser ve yanlış bir genellemedir.;Normal
Bugün harika bir gün geçirdim.;Normal
Hint filmleri gibi dramatik olma demek, bir ülkenin sinema anlayışını basite indirger.;Normal
Güzel bir gülümseme, günümü aydınlattı.;Normal
Başarıya ulaşmak için azimle çalışıyorum.;Normal
Fransız kadınları gibi şık olmak, bir ulusun kadınlarını belli bir imajla sınırlar.;Normal
Japonlar gibi çalışkan olmak, bir milleti tek bir özelliğe indirger.;Normal
İyi bir kahve, günü enerjik bir şekilde başlatmamı sağlıyor.;Normal
İrlanda gibi eğlenmek, bir ulusal stereotipi çağrıştırır.;Normal
İspanyol paellası gibi renkli bir hayat yaşamak, ulusal bir yemeği yaşam tarzı ile ilişkilendirir.;Normal
En sevdiğim müzik parçasını dinlediğimde, ruhum canlanıyor.;Normal
Hava beklediğimden daha kötüydü.;Normal
İtalyan gibi aşık olmak, bir ulusun insanlarını romantik olarak etiketler.;Normal
Bugün trafikte çok zaman kaybettim.;Normal
Sağlık sorunlarıyla başa çıkmak, zorlu bir süreç olabilir.;Normal
Beklenmedik sorunlar iş günümü olumsuz etkiledi.;Normal
Hedefime ulaşmada karşılaştığım engeller beni zorluyor.;Normal
Uyumakta zorlanıyorum, bu da enerjimi azaltıyor.;Normal
Eski arkadaşlarımla iletişimde sorun yaşamaktayım;Normal
Planlarımı gerçekleştirmek için yeterli destek alamıyorum.;Normal
Hatalarımın sonuçlarıyla başa çıkmak beni üzüyor.;Normal
Kırmızı tuğladan cephesi ve kuleleriyle dönemin mimarisini hatırlatıyor.;Normal
Birinciliği son saniyelerde kaçırınca üzüntüden mahvoldu.;Normal
Senin ve onun başına bir hal gelmesini kesinlikle istemiyorum.;Normal
Türkiye’de sigaraya başlama yaşı ilkokul çağına kadar düştü, diyor araştırmacılar.;Normal
Girdiğin sınavı kazandığını ve istediğin okulda okuduğunu bir düşün.;Normal
Sporcular performanslarını kötü etkileyecek yemeklerden uzak durmalıdır.;Normal
Kitapçıdan aldığım dergileri okuyor, arşivime kaldırıyorum.;Normal
Canını dişine takıp çalışıyor ama bir şeye sahip olamıyor.;Normal
Verilen işlerin zamanında yapılmaması hepimizin zamanını aldı.;Normal
Ne evi temizlemiş ne de çiçekleri sulamıştı bizim temizlikçi.;Normal
Bilim alanında meydana gelen değişmeler ders kitaplarındaki bilgilerin eskimesine yol açtı.;Normal
Eskişehir’de inecek olan bu kadın, vagonun en arkasındaydı az önce.;Normal
Fotoğraf kadar sinema da gizli kalmış gerçekleri gösterir bize.;Normal
Tüm konfeksiyoncuları gezdik, ona göre tuvalet bulamadık.;Normal
Doktorların bu konuda verdikleri bilgiler yüzeyseldir.;Normal
Sıcak değildir bu mevsimde oralar, gitmeden önce tekrar düşünün.;Normal
Ben çok acıktım.;Normal
Ali dün İstanbul’dan geldi.;Normal
 Meryem eve geldi ve hemen televizyonu açtı.;Normal
Bebek hastaydı, dün çok ağladı.;Normal
Önce kitabın kapağına baktı sonra içini açıp okumaya başladı.;Normal
Sen bu filmi izledin mi?;Normal
Baban Japonya’ya gitti mi?;Normal
 Dün akşam yemeği yedin mi?;Normal
Ben dün arabamı yıkadım.;Normal
Ben sabah erken kalktım ama sen erken kalkmadın.;Normal
Öğretmen yeni bir konu anlattı.;Normal
Dün derste çok şey öğrendim.;Normal
 Biz yeni bir Youtube kanalı açtık.;Normal
Bu kitabı 3 kere okudum.;Normal
Bütün gün bilgisayarda oyun oynadı.;Normal
Dün kuzenimle birlikte gezdim.;Normal
Bizi ne kadar beklediniz?;Normal
Sizi 15 dakika bekledik.;Normal
Ben 6. Sınıfa geçtim.;Normal
Ahmet İngilizce öğrendi.;Normal
Meryem az önce çok güzel bir şarkı söyledi.;Normal
 Dün 3 saat der çalıştım.;Normal
Geçen yıl İtalya'ya gittim.;Normal
Ali'ye 500 TL borç verdim.;Normal
Ahmet dün pikniğe gelmedi.;Normal
Sen hiç hayvanat bahçesine gittin mi?;Normal
Biletleri almadın mı?;Normal
 Benim bilgisayarım bozuldu.;Normal
Sen dün saat kaçta yattın?;Normal
Tarih sınavından 85 puan aldım.;Normal
Marketten su ve ekmek aldım.;Normal
Yeni bir video çekmeye karar verdim.;Normal
Beni sen mi aradın?;Normal
Sen bugün okula gitmedin mi?;Normal
 Ödevlerimi tam zamanında bitirdim.;Normal
Gün anahtarlarımı kaybettim, bugün buldum.;Normal
Eskiden böyle değildin. Sen çok değiştin;Normal
Bugün İnstagram’a 5 fotoğraf ekledim.;Normal
Bana çok yardım etti.;Normal
Son yıllarda Türkiye çok gelişti.;Normal
Ahmet çektiği fotoğrafları bana gösterdi.;Normal
Beni bugün okula babam getirdi.;Normal
Babam anneme çok güzel bir hediye aldı.;Normal
Dün kendimi biraz kötü hissettim.;Normal
O benimle hiç ilgilenmedi.;Normal
Ona bildiklerimi anlattım ama o bana hiç inanmadı.;Normal
Bugün kaç bardak çay içtin?;Normal
Sen bu filmi daha önce izledin mi?;Normal
Ümit benim teklifimi kabul etmedi.;Normal
Polis yolu trafiğe kapattı.;Normal
Galatasaray dünkü maçı kazandı.;Normal
Ben turistlerle İngilizce konuştum ama nedense beni anlamadılar.;Normal
Dün parkta 5 kilometre koştum.;Normal
Programı bilgisayara kurdum.;Normal
Ben ilkokulu Amasya’da okudum.;Normal
 Ankara’ya 2013 yılında taşındık.;Normal
Dün saatlerce parkta oyun oynadık.;Normal
 Virüse karşı tüm tedbirleri aldık.;Normal
Ben internetteki her şeyin doğru olmadığını öğrendim.;Normal
 Bir çikolatayı üçümüz paylaştık.;Normal
Biz yeni bir mikrofon satın aldık.;Normal
O bana yaşımı sordu.;Normal
 Biz odamızı topladık.;Normal
Aaa, bugün anneannemi aramayı unuttuk.;Normal
Hollanda'daki gibi özgür olmak, bir ülkeyi belirli bir özgürlük anlayışı ile ilişkilendirir.;Normal
Siz bizim kanalımıza abone oldunuz.;Normal
Bu cümleleri biz hazırladık.;Normal
